Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
Hybrid V1 (baseline),0.8634,0.1674,0.0641,0.2607,0.0366,0.0307,10.8614,10.258,8.1461
Hybrid V2 (Conv+Transformer),0.7548,0.0943,0.1422,0.0804,0.6182,0.1052,4.2239,3.6205,2.7154
Hybrid V3 (ConvLSTM+STGAT+attent),0.8875,0.2125,0.0476,0.3715,0.0254,0.0291,10.8614,9.9563,8.9004
Hybrid V4 (MultiScale+STGAT),0.8485,0.1808,0.0209,0.4317,0.0107,0.0298,10.8614,9.9563,12.2191
