Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
Hybrid V1 (baseline),0.8634,0.1674,0.2626,0.1922,0.4145,0.0307,10.8614,10.258,8.1461
Hybrid V2 (Conv+Transformer),0.7548,0.0943,0.17,0.1262,0.2602,0.0311,4.2239,3.6205,2.7154
Hybrid V3 (ConvLSTM+STGAT+attent),0.8875,0.2125,0.2939,0.2169,0.4558,0.0295,10.8614,9.9563,8.9004
Hybrid V4 (MultiScale+STGAT),0.8485,0.1808,0.2593,0.2108,0.337,0.03,10.8614,9.9563,12.2191
