Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
ConvLSTM,0.8836,0.1288,0.2369,0.1461,0.627,0.0288,3.7034,2.7775,2.6232
LSTM-only,0.6784,0.0586,0.1253,0.0706,0.5561,0.0312,1.2345,0.6172,0.3086
Conv-only,0.882,0.182,0.2738,0.2199,0.3628,0.029,7.4067,8.024,8.3326
Hybrid V3 (ConvLSTM+STGAT+attent),0.8875,0.2125,0.2939,0.2169,0.4558,0.0295,10.8614,9.9563,8.9004
