Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
Hybrid V1 (baseline),0.9296,0.4122,0.3543,0.2166,0.9726,0.1047,15.1867,15.5168,15.3518
Hybrid V2 (Conv+Transformer),0.932,0.4228,0.361,0.2216,0.9734,0.0965,16.1771,15.847,15.3518
Hybrid V3 (ConvLSTM+STGAT+attent),0.9296,0.4134,0.3535,0.216,0.9732,0.1057,16.5073,16.1771,16.0946
Hybrid V4 (MultiScale+STGAT),0.9302,0.4134,0.3539,0.2162,0.9751,0.1028,15.847,15.847,15.7645
