Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
ConvLSTM,0.9231,0.3974,0.434,0.329,0.6374,0.0462,14.8565,15.5168,15.2692
LSTM-only,0.9341,0.4308,0.4622,0.3771,0.5969,0.0445,16.5073,16.5073,16.0946
Conv-only,0.9012,0.3444,0.3997,0.2948,0.6204,0.0479,11.8852,12.3805,13.2884
Hybrid V3 (ConvLSTM+STGAT+attent),0.9296,0.4134,0.4491,0.3601,0.5966,0.0429,16.5073,16.1771,16.0946
