Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
ConvLSTM,0.9231,0.3974,0.1459,0.6092,0.0829,0.0437,14.8565,15.5168,15.2692
LSTM-only,0.9341,0.4308,0.2773,0.5453,0.1859,0.0423,16.5073,16.5073,16.0946
Conv-only,0.9012,0.3444,0.0984,0.5744,0.0538,0.0458,11.8852,12.3805,13.2884
Hybrid V3 (ConvLSTM+STGAT+attent),0.9296,0.4134,0.3535,0.216,0.9732,0.1057,16.5073,16.1771,16.0946
