Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
ConvLSTM,0.8836,0.1288,0.1804,0.0995,0.9603,0.1842,3.7034,2.7775,2.6232
LSTM-only,0.6784,0.0585,0.0421,0.0538,0.0345,0.0457,0.6172,0.6172,0.3086
Conv-only,0.882,0.182,0.1809,0.1004,0.9108,0.2371,7.4067,8.024,8.3326
Hybrid V3 (ConvLSTM+STGAT+attent),0.8875,0.2125,0.0476,0.3715,0.0254,0.0291,10.8614,9.9563,8.9004
