Model,AUROC,AUPRC,F1,Precision,Recall,Brier,PAI@50,PAI@100,PAI@200
Hybrid V1 (baseline),0.9296,0.4122,0.4489,0.3576,0.6027,0.043,15.1867,15.5168,15.3518
Hybrid V2 (Conv+Transformer),0.932,0.4228,0.4543,0.3541,0.6334,0.0425,16.1771,15.847,15.3518
Hybrid V3 (ConvLSTM+STGAT+attent),0.9296,0.4134,0.4491,0.3601,0.5966,0.0429,16.5073,16.1771,16.0946
Hybrid V4 (MultiScale+STGAT),0.9302,0.4134,0.4508,0.3575,0.6101,0.0429,15.847,15.847,15.7645
